name,type,pos,poss,pose,size,stru,ori,division,weld
 =268454733/2974123_0,GENSEC,X 90072mm Y 4908mm Z 38610mm,X 90072mm Y 4908mm Z 38610mm,X 90072mm Y 4908mm Z 39616mm,FBAR_65x16,=268454733/2974115,   1.000   0.000   0.000,,
 =268454733/2974134_0,GENSEC,X 88947mm Y 4908mm Z 38610mm,X 88947mm Y 4908mm Z 38610mm,X 88947mm Y 4908mm Z 39616mm,FBAR_65x16,=268454733/2974115,   1.000   0.000   0.000,,
 =268454733/2974156_0,GENSEC,X 88947mm Y 5588mm Z 38610mm,X 88947mm Y 5588mm Z 38610mm,X 88947mm Y 5588mm Z 39616mm,FBAR_65x16,=268454733/2974115,  -1.000   0.000   0.000,,
 =268454733/2974178_0,GENSEC,X 90072mm Y 5588mm Z 38610mm,X 90072mm Y 5588mm Z 38610mm,X 90072mm Y 5588mm Z 39616mm,FBAR_65x16,=268454733/2974115,  -1.000   0.000   0.000,,
 =268454733/2974298_0,GENSEC,X 90080mm Y 4908mm Z 38766mm,X 90080mm Y 4908mm Z 38766mm,X 90225mm Y 4908mm Z 38766mm,RBAR_19,=268454733/2974115,   0.000  -1.000   0.000,,
 =268454733/2974298_1,GENSEC,X 90225mm Y 4908mm Z 38766mm,X 90225mm Y 4908mm Z 38766mm,X 90225mm Y 4908mm Z 39141mm,RBAR_19,=268454733/2974115,   0.000  -1.000   0.000,,
 =268454733/2974298_2,GENSEC,X 90225mm Y 4908mm Z 39141mm,X 90225mm Y 4908mm Z 39141mm,X 90225mm Y 4908mm Z 39516mm,RBAR_19,=268454733/2974115,   0.000  -1.000   0.000,,
 =268454733/2974298_3,GENSEC,X 90225mm Y 4908mm Z 39516mm,X 90225mm Y 4908mm Z 39516mm,X 90080mm Y 4908mm Z 39516mm,RBAR_19,=268454733/2974115,   0.000  -1.000   0.000,,
 =268454733/2974288_0,GENSEC,X 90080mm Y 5588mm Z 38766mm,X 90080mm Y 5588mm Z 38766mm,X 90225mm Y 5588mm Z 38766mm,RBAR_19,=268454733/2974115,   0.000  -1.000   0.000,,
 =268454733/2974288_1,GENSEC,X 90225mm Y 5588mm Z 38766mm,X 90225mm Y 5588mm Z 38766mm,X 90225mm Y 5588mm Z 39141mm,RBAR_19,=268454733/2974115,   0.000  -1.000   0.000,,
 =268454733/2974288_2,GENSEC,X 90225mm Y 5588mm Z 39141mm,X 90225mm Y 5588mm Z 39141mm,X 90225mm Y 5588mm Z 39516mm,RBAR_19,=268454733/2974115,   0.000  -1.000   0.000,,
 =268454733/2974288_3,GENSEC,X 90225mm Y 5588mm Z 39516mm,X 90225mm Y 5588mm Z 39516mm,X 90080mm Y 5588mm Z 39516mm,RBAR_19,=268454733/2974115,   0.000  -1.000   0.000,,
 =268454733/2974189_0,GENSEC,X 90080mm Y 4908mm Z 39616mm,X 90080mm Y 4908mm Z 39616mm,X 88793mm Y 4908mm Z 39616mm,TUBE_42.7x3.25,=268454733/2974115,   0.000   0.000  -1.000,,
 =268454733/2974189_1,GENSEC,X 88793mm Y 4908mm Z 39616mm,X 88793mm Y 4908mm Z 39616mm,X 88793mm Y 5248mm Z 39616mm,TUBE_42.7x3.25,=268454733/2974115,   0.000   0.000  -1.000,,
 =268454733/2974189_2,GENSEC,X 88793mm Y 5248mm Z 39616mm,X 88793mm Y 5248mm Z 39616mm,X 88793mm Y 5588mm Z 39616mm,TUBE_42.7x3.25,=268454733/2974115,   0.000   0.000  -1.000,,
 =268454733/2974189_3,GENSEC,X 88793mm Y 5588mm Z 39616mm,X 88793mm Y 5588mm Z 39616mm,X 88937mm Y 5588mm Z 39616mm,TUBE_42.7x3.25,=268454733/2974115,   0.000   0.000  -1.000,,
 =268454733/3080302_0,GENSEC,X 90080mm Y 4908mm Z 39116mm,X 90080mm Y 4908mm Z 39116mm,X 88793mm Y 4908mm Z 39116mm,RBAR_16,=268454733/2974115,   0.000   0.000  -1.000,,
 =268454733/3080302_1,GENSEC,X 88793mm Y 4908mm Z 39116mm,X 88793mm Y 4908mm Z 39116mm,X 88793mm Y 5248mm Z 39116mm,RBAR_16,=268454733/2974115,   0.000   0.000  -1.000,,
 =268454733/3080302_2,GENSEC,X 88793mm Y 5248mm Z 39116mm,X 88793mm Y 5248mm Z 39116mm,X 88793mm Y 5588mm Z 39116mm,RBAR_16,=268454733/2974115,   0.000   0.000  -1.000,,
 =268454733/3080302_3,GENSEC,X 88793mm Y 5588mm Z 39116mm,X 88793mm Y 5588mm Z 39116mm,X 88937mm Y 5588mm Z 39116mm,RBAR_16,=268454733/2974115,   0.000   0.000  -1.000,,
 =268454733/2974257_0,GENSEC,X 88937mm Y 5588mm Z 39616mm,X 88937mm Y 5588mm Z 39616mm,X 90080mm Y 5588mm Z 39616mm,TUBE_42.7x3.25,=268454733/2974115,   0.000   0.000  -1.000,,
 =268454733/3080309_0,GENSEC,X 88937mm Y 5588mm Z 39116mm,X 88937mm Y 5588mm Z 39116mm,X 90080mm Y 5588mm Z 39116mm,RBAR_16,=268454733/2974115,   0.000   0.000  -1.000,,
 =268454733/2967350,SCTN,X 79558mm Y 10610mm Z 38655mm,X 79558mm Y 10610mm Z 38655mm,X 79558mm Y 10890mm Z 35451mm,BULB_65x9,=268454733/2967348,   1.000   0.000   0.000,OUTF,
 =268454733/2967355,SCTN,X 79200mm Y 10610mm Z 38655mm,X 79200mm Y 10610mm Z 38655mm,X 79200mm Y 10890mm Z 35451mm,BULB_65x9,=268454733/2967348,   1.000   0.000   0.000,OUTF,
 =268454733/2967410,SCTN,X 79190mm Y 10630mm Z 38426mm,X 79190mm Y 10630mm Z 38426mm,X 79568mm Y 10630mm Z 38426mm,BULB_22x22,=268454733/2967348,   0.000   0.707  -0.707,OUTF,
