name,type,pos,poss,pose,size,stru,ori,division,weld
 =268454733/2967411,SCTN,X 79190mm Y 10660mm Z 38087mm,X 79190mm Y 10660mm Z 38087mm,X 79568mm Y 10660mm Z 38087mm,BULB_22x22,=268454733/2967348,   0.000   0.707  -0.707,OUTF,
 =268454733/2967412,SCTN,X 79190mm Y 10689mm Z 37748mm,X 79190mm Y 10689mm Z 37748mm,X 79568mm Y 10689mm Z 37748mm,BULB_22x22,=268454733/2967348,   0.000   0.707  -0.707,OUTF,
 =268454733/2967413,SCTN,X 79190mm Y 10719mm Z 37410mm,X 79190mm Y 10719mm Z 37410mm,X 79568mm Y 10719mm Z 37410mm,BULB_22x22,=268454733/2967348,   0.000   0.707  -0.707,OUTF,
 =268454733/2967414,SCTN,X 79190mm Y 10749mm Z 37071mm,X 79190mm Y 10749mm Z 37071mm,X 79568mm Y 10749mm Z 37071mm,BULB_22x22,=268454733/2967348,   0.000   0.707  -0.707,OUTF,
 =268454733/2967415,SCTN,X 79190mm Y 10778mm Z 36732mm,X 79190mm Y 10778mm Z 36732mm,X 79568mm Y 10778mm Z 36732mm,BULB_22x22,=268454733/2967348,   0.000   0.707  -0.707,OUTF,
 =268454733/2967416,SCTN,X 79190mm Y 10808mm Z 36394mm,X 79190mm Y 10808mm Z 36394mm,X 79568mm Y 10808mm Z 36394mm,BULB_22x22,=268454733/2967348,   0.000   0.707  -0.707,OUTF,
 =268454733/2967417,SCTN,X 79190mm Y 10837mm Z 36055mm,X 79190mm Y 10837mm Z 36055mm,X 79568mm Y 10837mm Z 36055mm,BULB_22x22,=268454733/2967348,   0.000   0.707  -0.707,OUTF,
 =268454733/3021204,SCTN,X 79190mm Y 10867mm Z 35716mm,X 79190mm Y 10867mm Z 35716mm,X 79568mm Y 10867mm Z 35716mm,BULB_22x22,=268454733/2967348,   0.000   0.707  -0.707,OUTF,
 =268454733/2967419,SCTN,X 79568mm Y 10636mm Z 38615mm,X 79568mm Y 10636mm Z 38615mm,X 79568mm Y 10475mm Z 38615mm,BULB_65x9,=268454733/2967348,   1.000   0.000   0.000,OUTF,
 =268454733/2967422,SCTN,X 79568mm Y 10726mm Z 37590mm,X 79568mm Y 10726mm Z 37590mm,X 79568mm Y 10485mm Z 37590mm,BULB_65x9,=268454733/2967348,   1.000   0.000   0.000,OUTF,
 =268454733/2967425,SCTN,X 79190mm Y 10636mm Z 38615mm,X 79190mm Y 10636mm Z 38615mm,X 79190mm Y 10475mm Z 38615mm,BULB_65x9,=268454733/2967348,   1.000   0.000   0.000,OUTF,
 =268454733/2967428,SCTN,X 79190mm Y 10726mm Z 37590mm,X 79190mm Y 10726mm Z 37590mm,X 79190mm Y 10485mm Z 37590mm,BULB_65x9,=268454733/2967348,   1.000   0.000   0.000,OUTF,
 =268454733/2967431,SCTN,X 79568mm Y 10890mm Z 35501mm,X 79568mm Y 10890mm Z 35501mm,X 79568mm Y 10890mm Z 35377mm,BULB_65x9,=268454733/2967348,   1.000   0.000   0.000,OUTF,
 =268454733/2967436,SCTN,X 79190mm Y 10890mm Z 35501mm,X 79190mm Y 10890mm Z 35501mm,X 79190mm Y 10890mm Z 35377mm,BULB_65x9,=268454733/2967348,   1.000   0.000   0.000,OUTF,
 =268454733/2967380_0,GENSEC,X 79186mm Y 10596mm Z 38553mm,X 79186mm Y 10596mm Z 38553mm,X 79186mm Y 10691mm Z 38562mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/2967380_1,GENSEC,X 79186mm Y 10691mm Z 38562mm,X 79186mm Y 10691mm Z 38562mm,X 79120mm Y 10756mm Z 38567mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/2967380_2,GENSEC,X 79120mm Y 10756mm Z 38567mm,X 79120mm Y 10756mm Z 38567mm,X 79054mm Y 10822mm Z 38573mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/2967380_3,GENSEC,X 79054mm Y 10822mm Z 38573mm,X 79054mm Y 10822mm Z 38573mm,X 79054mm Y 10988mm Z 38588mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/2967380_4,GENSEC,X 79054mm Y 10988mm Z 38588mm,X 79054mm Y 10988mm Z 38588mm,X 79054mm Y 11358mm Z 38620mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/2967380_5,GENSEC,X 79054mm Y 11358mm Z 38620mm,X 79054mm Y 11358mm Z 38620mm,X 79379mm Y 11358mm Z 38620mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/2967380_6,GENSEC,X 79379mm Y 11358mm Z 38620mm,X 79379mm Y 11358mm Z 38620mm,X 79704mm Y 11358mm Z 38620mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/2967380_7,GENSEC,X 79704mm Y 11358mm Z 38620mm,X 79704mm Y 11358mm Z 38620mm,X 79704mm Y 10988mm Z 38588mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/2967380_8,GENSEC,X 79704mm Y 10988mm Z 38588mm,X 79704mm Y 10988mm Z 38588mm,X 79704mm Y 10822mm Z 38573mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/2967380_9,GENSEC,X 79704mm Y 10822mm Z 38573mm,X 79704mm Y 10822mm Z 38573mm,X 79638mm Y 10756mm Z 38567mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/2967380_10,GENSEC,X 79638mm Y 10756mm Z 38567mm,X 79638mm Y 10756mm Z 38567mm,X 79573mm Y 10691mm Z 38562mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/2967380_11,GENSEC,X 79573mm Y 10691mm Z 38562mm,X 79573mm Y 10691mm Z 38562mm,X 79573mm Y 10596mm Z 38553mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/3021257_0,GENSEC,X 79379mm Y 11358mm Z 38620mm,X 79379mm Y 11358mm Z 38620mm,X 79379mm Y 11435mm Z 37733mm,RBAR_19,=268454733/2967348,   0.000   0.996   0.087,,
 =268454733/3021278_0,GENSEC,X 79054mm Y 11009mm Z 38589mm,X 79054mm Y 11009mm Z 38589mm,X 79054mm Y 11087mm Z 37703mm,RBAR_19,=268454733/2967348,   0.000   0.996   0.087,,
 =268454733/3031757_0,GENSEC,X 79704mm Y 11009mm Z 38589mm,X 79704mm Y 11009mm Z 38589mm,X 79704mm Y 11087mm Z 37703mm,RBAR_19,=268454733/2967348,   0.000   0.996   0.087,,
 =268454733/3021228_0,GENSEC,X 79186mm Y 10674mm Z 37667mm,X 79186mm Y 10674mm Z 37667mm,X 79186mm Y 10768mm Z 37675mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/3021228_1,GENSEC,X 79186mm Y 10768mm Z 37675mm,X 79186mm Y 10768mm Z 37675mm,X 79120mm Y 10834mm Z 37681mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/3021228_2,GENSEC,X 79120mm Y 10834mm Z 37681mm,X 79120mm Y 10834mm Z 37681mm,X 79054mm Y 10899mm Z 37686mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/3021228_3,GENSEC,X 79054mm Y 10899mm Z 37686mm,X 79054mm Y 10899mm Z 37686mm,X 79054mm Y 11066mm Z 37701mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/3021228_4,GENSEC,X 79054mm Y 11066mm Z 37701mm,X 79054mm Y 11066mm Z 37701mm,X 79054mm Y 11435mm Z 37733mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/3021228_5,GENSEC,X 79054mm Y 11435mm Z 37733mm,X 79054mm Y 11435mm Z 37733mm,X 79379mm Y 11435mm Z 37733mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/3021228_6,GENSEC,X 79379mm Y 11435mm Z 37733mm,X 79379mm Y 11435mm Z 37733mm,X 79704mm Y 11435mm Z 37733mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/3021228_7,GENSEC,X 79704mm Y 11435mm Z 37733mm,X 79704mm Y 11435mm Z 37733mm,X 79704mm Y 11066mm Z 37701mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/3021228_8,GENSEC,X 79704mm Y 11066mm Z 37701mm,X 79704mm Y 11066mm Z 37701mm,X 79704mm Y 10899mm Z 37686mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/3021228_9,GENSEC,X 79704mm Y 10899mm Z 37686mm,X 79704mm Y 10899mm Z 37686mm,X 79638mm Y 10834mm Z 37681mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/3021228_10,GENSEC,X 79638mm Y 10834mm Z 37681mm,X 79638mm Y 10834mm Z 37681mm,X 79573mm Y 10768mm Z 37675mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/3021228_11,GENSEC,X 79573mm Y 10768mm Z 37675mm,X 79573mm Y 10768mm Z 37675mm,X 79573mm Y 10674mm Z 37667mm,RBAR_19,=268454733/2967348,   0.000   0.087  -0.996,,
 =268454733/2967395_0,GENSEC,X 79704mm Y 10967mm Z 38586mm,X 79704mm Y 10967mm Z 38586mm,X 79704mm Y 10780mm Z 38363mm,RBAR_19,=268454733/2967348,   0.000  -0.766   0.643,,
 =268454733/2967395_1,GENSEC,X 79704mm Y 10780mm Z 38363mm,X 79704mm Y 10780mm Z 38363mm,X 79638mm Y 10738mm Z 38313mm,RBAR_19,=268454733/2967348,   0.000  -0.766   0.643,,
 =268454733/2967395_2,GENSEC,X 79638mm Y 10738mm Z 38313mm,X 79638mm Y 10738mm Z 38313mm,X 79573mm Y 10696mm Z 38262mm,RBAR_19,=268454733/2967348,   0.000  -0.766   0.643,,
 =268454733/2967395_3,GENSEC,X 79573mm Y 10696mm Z 38262mm,X 79573mm Y 10696mm Z 38262mm,X 79573mm Y 10635mm Z 38189mm,RBAR_19,=268454733/2967348,   0.000  -0.766   0.643,,
 =268454733/3021243_0,GENSEC,X 79704mm Y 11045mm Z 37699mm,X 79704mm Y 11045mm Z 37699mm,X 79704mm Y 10822mm Z 37886mm,RBAR_19,=268454733/2967348,   0.000  -0.643  -0.766,,
 =268454733/3021243_1,GENSEC,X 79704mm Y 10822mm Z 37886mm,X 79704mm Y 10822mm Z 37886mm,X 79638mm Y 10772mm Z 37929mm,RBAR_19,=268454733/2967348,   0.000  -0.643  -0.766,,
 =268454733/3021243_2,GENSEC,X 79638mm Y 10772mm Z 37929mm,X 79638mm Y 10772mm Z 37929mm,X 79573mm Y 10721mm Z 37971mm,RBAR_19,=268454733/2967348,   0.000  -0.643  -0.766,,
 =268454733/3021243_3,GENSEC,X 79573mm Y 10721mm Z 37971mm,X 79573mm Y 10721mm Z 37971mm,X 79573mm Y 10648mm Z 38032mm,RBAR_19,=268454733/2967348,   0.000  -0.643  -0.766,,
 =268454733/2967402_0,GENSEC,X 79054mm Y 10967mm Z 38586mm,X 79054mm Y 10967mm Z 38586mm,X 79054mm Y 10780mm Z 38363mm,RBAR_19,=268454733/2967348,   0.000  -0.766   0.643,,
 =268454733/2967402_1,GENSEC,X 79054mm Y 10780mm Z 38363mm,X 79054mm Y 10780mm Z 38363mm,X 79120mm Y 10738mm Z 38313mm,RBAR_19,=268454733/2967348,   0.000  -0.766   0.643,,
 =268454733/2967402_2,GENSEC,X 79120mm Y 10738mm Z 38313mm,X 79120mm Y 10738mm Z 38313mm,X 79186mm Y 10696mm Z 38262mm,RBAR_19,=268454733/2967348,   0.000  -0.766   0.643,,
 =268454733/2967402_3,GENSEC,X 79186mm Y 10696mm Z 38262mm,X 79186mm Y 10696mm Z 38262mm,X 79186mm Y 10635mm Z 38189mm,RBAR_19,=268454733/2967348,   0.000  -0.766   0.643,,
 =268454733/3021250_0,GENSEC,X 79054mm Y 11045mm Z 37699mm,X 79054mm Y 11045mm Z 37699mm,X 79054mm Y 10822mm Z 37886mm,RBAR_19,=268454733/2967348,   0.000  -0.643  -0.766,,
 =268454733/3021250_1,GENSEC,X 79054mm Y 10822mm Z 37886mm,X 79054mm Y 10822mm Z 37886mm,X 79120mm Y 10772mm Z 37929mm,RBAR_19,=268454733/2967348,   0.000  -0.643  -0.766,,
 =268454733/3021250_2,GENSEC,X 79120mm Y 10772mm Z 37929mm,X 79120mm Y 10772mm Z 37929mm,X 79186mm Y 10721mm Z 37971mm,RBAR_19,=268454733/2967348,   0.000  -0.643  -0.766,,
 =268454733/3021250_3,GENSEC,X 79186mm Y 10721mm Z 37971mm,X 79186mm Y 10721mm Z 37971mm,X 79186mm Y 10648mm Z 38032mm,RBAR_19,=268454733/2967348,   0.000  -0.643  -0.766,,
 =268454733/2967647,SCTN,X 78964mm Y 9780mm Z 38660mm,X 78964mm Y 9780mm Z 38660mm,X 78964mm Y 10555mm Z 38660mm,ANG_75x75x9,=268454733/2967645,   1.000   0.000   0.000,OUTF,
 =268454733/2967649,SCTN,X 79719mm Y 9525mm Z 38660mm,X 79719mm Y 9525mm Z 38660mm,X 79719mm Y 10555mm Z 38660mm,ANG_75x75x9,=268454733/2967645,   1.000   0.000   0.000,OUTF,
 =268454733/2967652,SCTN,X 80599mm Y 9780mm Z 38660mm,X 80599mm Y 9780mm Z 38660mm,X 80599mm Y 10810mm Z 38660mm,ANG_75x75x9,=268454733/2967645,   1.000   0.000   0.000,OUTF,
 =268454733/2967655,SCTN,X 81589mm Y 9525mm Z 38660mm,X 81589mm Y 9525mm Z 38660mm,X 81589mm Y 10555mm Z 38660mm,ANG_75x75x9,=268454733/2967645,   1.000   0.000   0.000,OUTF,
 =268454733/2967658,SCTN,X 78964mm Y 10475mm Z 38651mm,X 78964mm Y 10475mm Z 38651mm,X 78964mm Y 10475mm Z 37640mm,ANG_75x75x9,=268454733/2967645,   1.000   0.000   0.000,OUTF,
 =268454733/2967661,SCTN,X 82569mm Y 9780mm Z 38660mm,X 82569mm Y 9780mm Z 38660mm,X 82569mm Y 10810mm Z 38660mm,ANG_75x75x9,=268454733/2967645,   1.000   0.000   0.000,OUTF,
 =268454733/2967664,SCTN,X 82569mm Y 10475mm Z 38651mm,X 82569mm Y 10475mm Z 38651mm,X 82569mm Y 10475mm Z 37640mm,ANG_75x75x9,=268454733/2967645,   1.000   0.000   0.000,OUTF,
 =268454733/2967666,SCTN,X 80599mm Y 10475mm Z 38651mm,X 80599mm Y 10475mm Z 38651mm,X 80599mm Y 10475mm Z 37640mm,ANG_75x75x9,=268454733/2967645,   1.000   0.000   0.000,OUTF,
 =268454733/2967668,SCTN,X 80599mm Y 9829mm Z 38160mm,X 80599mm Y 9829mm Z 38160mm,X 80599mm Y 10466mm Z 38160mm,ANG_75x75x9,=268454733/2967645,   1.000   0.000   0.000,OUTF,
 =268454733/2967671,SCTN,X 82569mm Y 9829mm Z 38160mm,X 82569mm Y 9829mm Z 38160mm,X 82569mm Y 10466mm Z 38160mm,ANG_75x75x9,=268454733/2967645,   1.000   0.000   0.000,OUTF,
 =268454733/2967674,SCTN,X 82569mm Y 9820mm Z 38651mm,X 82569mm Y 9820mm Z 38651mm,X 82569mm Y 9820mm Z 37640mm,ANG_75x75x9,=268454733/2967645,   0.000   1.000   0.000,OUTF,
 =268454733/2967676,SCTN,X 80599mm Y 9820mm Z 38651mm,X 80599mm Y 9820mm Z 38651mm,X 80599mm Y 9820mm Z 37640mm,ANG_75x75x9,=268454733/2967645,   0.000   1.000   0.000,OUTF,
 =268454733/2967678,SCTN,X 78964mm Y 9820mm Z 38651mm,X 78964mm Y 9820mm Z 38651mm,X 78964mm Y 9820mm Z 37640mm,ANG_75x75x9,=268454733/2967645,   0.000   1.000   0.000,OUTF,
 =268454733/3057368,SCTN,X 82569mm Y 10475mm Z 38510mm,X 82569mm Y 10475mm Z 38510mm,X 81699mm Y 10475mm Z 37640mm,ANG_75x75x9,=268454733/2967645,   0.707   0.000  -0.707,OUTF,
 =268454733/3057369,SCTN,X 81699mm Y 9820mm Z 37640mm,X 81699mm Y 9820mm Z 37640mm,X 82569mm Y 9820mm Z 38510mm,ANG_75x75x9,=268454733/2967645,   0.707   0.000  -0.707,OUTF,
 =268454733/3057386,SCTN,X 78973mm Y 10475mm Z 38540mm,X 78973mm Y 10475mm Z 38540mm,X 79603mm Y 10475mm Z 37640mm,ANG_75x75x9,=268454733/2967645,   0.000  -1.000   0.000,OUTF,
 =268454733/3021227,SCTN,X 79019mm Y 10475mm Z 38654mm,X 79019mm Y 10475mm Z 38654mm,X 79739mm Y 10475mm Z 38654mm,ANG_56x56x6,=268454733/2967645,   0.000   0.000   1.000,OUTF,
 =268454733/3021226,SCTN,X 78899mm Y 10475mm Z 38654mm,X 78899mm Y 10475mm Z 38654mm,X 79059mm Y 10475mm Z 38654mm,ANG_56x56x6,=268454733/2967645,   0.000   0.000   1.000,OUTF,
 =268454733/3021225,SCTN,X 79699mm Y 10475mm Z 38654mm,X 79699mm Y 10475mm Z 38654mm,X 82709mm Y 10475mm Z 38654mm,ANG_56x56x6,=268454733/2967645,   0.000   0.000   1.000,OUTF,
 =268454733/3021079,SCTN,X 78889mm Y 9870mm Z 38654mm,X 78889mm Y 9870mm Z 38654mm,X 78889mm Y 10465mm Z 38654mm,ANG_56x56x6,=268454733/2967645,   0.000   0.000   1.000,OUTF,
 =268454733/2967683,SCTN,X 82709mm Y 9860mm Z 38654mm,X 82709mm Y 9860mm Z 38654mm,X 78899mm Y 9860mm Z 38654mm,ANG_56x56x6,=268454733/2967645,   0.000   0.000   1.000,OUTF,
 =268454733/2967684,SCTN,X 82719mm Y 10465mm Z 38654mm,X 82719mm Y 10465mm Z 38654mm,X 82719mm Y 9870mm Z 38654mm,ANG_56x56x6,=268454733/2967645,   0.000   0.000   1.000,OUTF,
 =268454733/2967782_0,GENSEC,X 79742mm Y 10508mm Z 38660mm,X 79742mm Y 10508mm Z 38660mm,X 79742mm Y 10508mm Z 39666mm,FBAR_65x16,=268454733/2967698,  -1.000   0.000   0.000,,
 =268454733/2967805_0,GENSEC,X 80622mm Y 10508mm Z 38660mm,X 80622mm Y 10508mm Z 38660mm,X 80622mm Y 10508mm Z 39666mm,FBAR_65x16,=268454733/2967698,  -1.000   0.000   0.000,,
 =268454733/2967820_0,GENSEC,X 82592mm Y 10508mm Z 38660mm,X 82592mm Y 10508mm Z 38660mm,X 82592mm Y 10508mm Z 39666mm,FBAR_65x16,=268454733/2967698,  -1.000   0.000   0.000,,
 =268454733/2967828_0,GENSEC,X 81612mm Y 10508mm Z 38660mm,X 81612mm Y 10508mm Z 38660mm,X 81612mm Y 10508mm Z 39666mm,FBAR_65x16,=268454733/2967698,  -1.000   0.000   0.000,,
 =268454733/2967843_0,GENSEC,X 80622mm Y 9828mm Z 38660mm,X 80622mm Y 9828mm Z 38660mm,X 80622mm Y 9828mm Z 39666mm,FBAR_65x16,=268454733/2967698,   1.000   0.000   0.000,,
 =268454733/3057407_0,GENSEC,X 81612mm Y 9828mm Z 38660mm,X 81612mm Y 9828mm Z 38660mm,X 81612mm Y 9828mm Z 39666mm,FBAR_65x16,=268454733/2967698,   1.000   0.000   0.000,,
 =268454733/3057421_0,GENSEC,X 82592mm Y 9828mm Z 38660mm,X 82592mm Y 9828mm Z 38660mm,X 82592mm Y 9828mm Z 39666mm,FBAR_65x16,=268454733/2967698,   1.000   0.000   0.000,,
 =268454733/2967858_0,GENSEC,X 79742mm Y 9828mm Z 38660mm,X 79742mm Y 9828mm Z 38660mm,X 79742mm Y 9828mm Z 39666mm,FBAR_65x16,=268454733/2967698,   1.000   0.000   0.000,,
 =268454733/3021132_0,GENSEC,X 79007mm Y 9828mm Z 38660mm,X 79007mm Y 9828mm Z 38660mm,X 79007mm Y 9828mm Z 39666mm,FBAR_65x16,=268454733/2967698,   1.000   0.000   0.000,,
 =268454733/2967873_0,GENSEC,X 79016mm Y 10508mm Z 38660mm,X 79016mm Y 10508mm Z 38660mm,X 79016mm Y 10508mm Z 39666mm,FBAR_65x16,=268454733/2967698,  -1.000   0.000   0.000,,
 =268454733/3021153_0,GENSEC,X 78999mm Y 10505mm Z 38816mm,X 78999mm Y 10505mm Z 38816mm,X 78999mm Y 10630mm Z 38816mm,RBAR_19,=268454733/2967698,  -1.000   0.000   0.000,,
 =268454733/3021153_1,GENSEC,X 78999mm Y 10630mm Z 38816mm,X 78999mm Y 10630mm Z 38816mm,X 78999mm Y 10630mm Z 39191mm,RBAR_19,=268454733/2967698,  -1.000   0.000   0.000,,
 =268454733/3021153_2,GENSEC,X 78999mm Y 10630mm Z 39191mm,X 78999mm Y 10630mm Z 39191mm,X 78999mm Y 10630mm Z 39566mm,RBAR_19,=268454733/2967698,  -1.000   0.000   0.000,,
 =268454733/3021153_3,GENSEC,X 78999mm Y 10630mm Z 39566mm,X 78999mm Y 10630mm Z 39566mm,X 78999mm Y 10505mm Z 39566mm,RBAR_19,=268454733/2967698,  -1.000   0.000   0.000,,
 =268454733/3021143_0,GENSEC,X 79760mm Y 10505mm Z 38816mm,X 79760mm Y 10505mm Z 38816mm,X 79760mm Y 10630mm Z 38816mm,RBAR_19,=268454733/2967698,   1.000   0.000   0.000,,
 =268454733/3021143_1,GENSEC,X 79760mm Y 10630mm Z 38816mm,X 79760mm Y 10630mm Z 38816mm,X 79760mm Y 10630mm Z 39191mm,RBAR_19,=268454733/2967698,   1.000   0.000   0.000,,
 =268454733/3021143_2,GENSEC,X 79760mm Y 10630mm Z 39191mm,X 79760mm Y 10630mm Z 39191mm,X 79760mm Y 10630mm Z 39566mm,RBAR_19,=268454733/2967698,   1.000   0.000   0.000,,
 =268454733/3021143_3,GENSEC,X 79760mm Y 10630mm Z 39566mm,X 79760mm Y 10630mm Z 39566mm,X 79760mm Y 10505mm Z 39566mm,RBAR_19,=268454733/2967698,   1.000   0.000   0.000,,
