name,type,pos,apos,lpos,bran,outDia,thick,normal,interPos,p3Pos,outDia2,thick2,rest,mass,wvol,remark,Ispec,material
 =21945/52134,TUBI,X 76850mm Y 8965mm Z 37252mm,X 76600mm Y 8965mm Z 37252mm,X 77100mm Y 8965mm Z 37252mm,7D-511-65A_001/B1,73,3.05,   0.000   0.000   1.000,,,0,0,,2.6575,76600+8878.5+37165.8+77100+9051.5+37338.8,,50,A312_TP304L
 =21945/541186,TUBI,X 77877mm Y 8965mm Z 37252mm,X 77100mm Y 8965mm Z 37252mm,X 78655mm Y 8965mm Z 37252mm,7D-511-65A_001/B1,73,3.05,   0.000   0.000   1.000,,,0,0,,8.2635,77100+8878.5+37165.8+78654.8+9051.5+37338.8,,50,A312_TP304L
 =21945/496593,UBOLT,X 77578mm Y 8965mm Z 37252mm,X 77578mm Y 8965mm Z 37252mm,X 77578mm Y 8965mm Z 37252mm,7D-511-65A_001/B1,0,0,   0.000   0.000   1.000,,,0,0,3,3.0968,77557.5+8787.5+37102.8+77597.5+9142.5+37367.8,,50,
 =21945/52138,ELBO,X 78750mm Y 8965mm Z 37252mm,X 78655mm Y 8965mm Z 37252mm,X 78750mm Y 8870mm Z 37252mm,7D-511-65A_001/B1,73,3.05,   0.000   0.000  -1.000,X 78703mm Y 8952mm Z 37252mm+X 78737mm Y 8917mm Z 37252mm,,0,0,,0.78,78654.8+8869.8+37165.8+78836.5+9051.5+37338.8,,50,A312_TP304L
 =21945/541062,TUBI,X 78750mm Y 7828mm Z 37252mm,X 78750mm Y 8870mm Z 37252mm,X 78750mm Y 6785mm Z 37252mm,7D-511-65A_001/B1,73,3.05,   0.000   0.000   1.000,,,0,0,,11.079,78663.5+6785.3+37165.8+78836.5+8869.8+37338.8,,50,A312_TP304L
 =21945/500269,UBOLT,X 78750mm Y 8075mm Z 37252mm,X 78750mm Y 8075mm Z 37252mm,X 78750mm Y 8075mm Z 37252mm,7D-511-65A_001/B1,0,0,   0.000   0.000   1.000,,,0,0,3,3.0968,78572.5+8055+37102.8+78927.5+8095+37367.8,,50,
 =21945/52141,ELBO,X 78750mm Y 6690mm Z 37252mm,X 78750mm Y 6785mm Z 37252mm,X 78845mm Y 6690mm Z 37252mm,7D-511-65A_001/B1,73,3.05,   0.000   0.000   1.000,X 78763mm Y 6737mm Z 37252mm+X 78798mm Y 6703mm Z 37252mm,,0,0,,0.78,78663.5+6603.5+37165.8+78845.3+6785.3+37338.8,,50,A312_TP304L
 =21945/541073,TUBI,X 81845mm Y 6690mm Z 37252mm,X 78845mm Y 6690mm Z 37252mm,X 84845mm Y 6690mm Z 37252mm,7D-511-65A_001/B1,73,3.05,   0.000   0.000   1.000,,,0,0,,31.89,78845.3+6603.5+37165.8+84845.3+6776.5+37338.8,,50,A312_TP304L
 =30137/132096,UBOLT,X 80000mm Y 6690mm Z 37252mm,X 80000mm Y 6690mm Z 37252mm,X 80000mm Y 6690mm Z 37252mm,7D-511-65A_001/B1,0,0,   0.000   0.000   1.000,,,0,0,23,2.6533,79980+6552.5+37102.8+80020+6827.5+37367.8,,50,
 =30137/131236,UBOLT,X 83950mm Y 6690mm Z 37252mm,X 83950mm Y 6690mm Z 37252mm,X 83950mm Y 6690mm Z 37252mm,7D-511-65A_001/B1,0,0,   0.000   0.000   1.000,,,0,0,23,2.6533,83930+6552.5+37102.8+83970+6827.5+37367.8,,50,
 =21945/541070,TUBI,X 87266mm Y 6690mm Z 37252mm,X 84847mm Y 6690mm Z 37252mm,X 89685mm Y 6690mm Z 37252mm,7D-511-65A_001/B1,73,3.05,   0.000   0.000   1.000,,,0,0,,25.711,84847.3+6603.5+37165.8+89684.8+6776.5+37338.8,,50,A312_TP304L
 =30137/130211,UBOLT,X 88500mm Y 6690mm Z 37252mm,X 88500mm Y 6690mm Z 37252mm,X 88500mm Y 6690mm Z 37252mm,7D-511-65A_001/B1,0,0,   0.000   0.000   1.000,,,0,0,23,2.6533,88480+6552.5+37102.8+88520+6827.5+37367.8,,50,
 =21945/52149,ELBO,X 89780mm Y 6690mm Z 37252mm,X 89685mm Y 6690mm Z 37252mm,X 89780mm Y 6595mm Z 37252mm,7D-511-65A_001/B1,73,3.05,   0.000   0.000  -1.000,X 89733mm Y 6677mm Z 37252mm+X 89767mm Y 6642mm Z 37252mm,,0,0,,0.78,89684.8+6594.8+37165.8+89866.5+6776.5+37338.8,,50,A312_TP304L
 =21945/549179,TUBI,X 89780mm Y 4563mm Z 37252mm,X 89780mm Y 6595mm Z 37252mm,X 89780mm Y 2530mm Z 37252mm,7D-511-65A_001/B1,73,3.05,   0.000   0.000   1.000,,,0,0,,21.603,89693.5+2530.2+37165.8+89866.5+6594.8+37338.8,,50,A312_TP304L
