name,pos,cog,interPos,mass,wvol
 =30137/1477748,X 94755mm Y 5922mm Z 26586mm,X 98289mm Y 6609mm Z 26966mm,X 93260mm Y 7350mm Z 27269mm+X 93110mm Y 7650mm Z 27221mm+X 93110mm Y 6840mm Z 27415mm+X 93260mm Y 6265mm Z 27320mm+X 94760mm Y 6210mm Z 27294mm+X 93970mm Y 5865mm Z 26704mm+X 94345mm Y 5815mm Z 26806mm+X 93670mm Y 5865mm Z 26691mm+X 94910mm Y 6735mm Z 27390mm+X 94760mm Y 7260mm Z 27269mm+X 94760mm Y 7590mm Z 27221mm+X 94180mm Y 7965mm Z 27421mm+X 93860mm Y 7965mm Z 27394mm+X 94710mm Y 6488mm Z 26817mm+X 94360mm Y 7643mm Z 26567mm,1025,0+0+0+0+0+0
 =30137/1477882,X 87045mm Y 5927mm Z 26586mm,X 87145mm Y 6613mm Z 26905mm,X 85960mm Y 5885mm Z 26844mm+X 86335mm Y 5885mm Z 26908mm+X 85400mm Y 7400mm Z 27320mm+X 85400mm Y 7860mm Z 27269mm+X 85400mm Y 8200mm Z 27221mm+X 85400mm Y 8220mm Z 27006mm+X 85400mm Y 8065mm Z 27006mm+X 85250mm Y 6840mm Z 27415mm+X 85400mm Y 6265mm Z 27320mm+X 86900mm Y 7350mm Z 27269mm+X 87050mm Y 7650mm Z 27221mm+X 87050mm Y 6840mm Z 27415mm+X 86900mm Y 6265mm Z 27320mm,1119.2,0+0+0+0+0+0
