name,type,pos,apos,lpos,bran,outDia,thick,normal,interPos,p3Pos,outDia2,thick2,rest,mass,wvol,remark,Ispec,material
 =21945/327703,FLAN,X 77303mm Y 6265mm Z 27320mm,X 77310mm Y 6265mm Z 27320mm,X 77303mm Y 6265mm Z 27320mm,EL-743-250A_002/B1,267.4,6.4,   0.000   0.000   1.000,,,0,0,,9.39,77303+6072.5+27127.5+77325.3+6457.5+27512.5,,,STEEL
 =21945/327703,TUBI,X 79693mm Y 6265mm Z 27320mm,X 77310mm Y 6265mm Z 27320mm,X 82076mm Y 6265mm Z 27320mm,EL-743-250A_002/B1,267.4,6.4,   0.000   0.000   1.000,,,0,0,,196.36,77310+6131.3+27186.3+82076+6398.7+27453.7,,,STEEL
 =54713/137500,UBOLT,X 79085mm Y 6265mm Z 27320mm,X 79085mm Y 6265mm Z 27320mm,X 79085mm Y 6265mm Z 27320mm,EL-743-250A_002/B1,0,0,   0.000   0.000   1.000,,,0,0,23,2.43,79070+6103.5+27139.2+79100+6426.5+27476.5,,,
 =54713/137822,UBOLT,X 80555mm Y 6265mm Z 27320mm,X 80555mm Y 6265mm Z 27320mm,X 80555mm Y 6265mm Z 27320mm,EL-743-250A_002/B1,0,0,   0.000   0.000   1.000,,,0,0,23,2.43,80540+6103.5+27139.2+80570+6426.5+27476.5,,,
 =21945/1703583,FLAN,X 82083mm Y 6265mm Z 27320mm,X 82076mm Y 6265mm Z 27320mm,X 82083mm Y 6265mm Z 27320mm,EL-743-250A_002/B1,267.4,6.4,   0.000   0.000   1.000,,,0,0,,9.39,82060.8+6072.5+27127.5+82083+6457.5+27512.5,,,STEEL
 =21945/1703581,FLAN,X 82086mm Y 6265mm Z 27320mm,X 82093mm Y 6265mm Z 27320mm,X 82086mm Y 6265mm Z 27320mm,EL-743-250A_002/B1,267.4,6.4,   0.000   0.000   1.000,,,0,0,,9.39,82086+6072.5+27127.5+82108.3+6457.5+27512.5,,,STEEL
 =21945/1703581,TUBI,X 83846mm Y 6265mm Z 27320mm,X 82093mm Y 6265mm Z 27320mm,X 85600mm Y 6265mm Z 27320mm,EL-743-250A_002/B1,267.4,6.4,   0.000   0.000   1.000,,,0,0,,144.49,82093+6131.3+27186.3+85600+6398.7+27453.7,,,STEEL
 =54713/138374,UBOLT,X 82485mm Y 6265mm Z 27320mm,X 82485mm Y 6265mm Z 27320mm,X 82485mm Y 6265mm Z 27320mm,EL-743-250A_002/B1,0,0,   0.000   0.000   1.000,,,0,0,23,2.43,82470+6103.5+27139.2+82500+6426.5+27476.5,,,
 =54713/138626,UBOLT,X 83905mm Y 6265mm Z 27320mm,X 83905mm Y 6265mm Z 27320mm,X 83905mm Y 6265mm Z 27320mm,EL-743-250A_002/B1,0,0,   0.000   0.000   1.000,,,0,0,23,2.43,83890+6103.5+27139.2+83920+6426.5+27476.5,,,
 =54713/139190,UBOLT,X 85035mm Y 6265mm Z 27320mm,X 85035mm Y 6265mm Z 27320mm,X 85035mm Y 6265mm Z 27320mm,EL-743-250A_002/B1,0,0,   0.000   0.000   1.000,,,0,0,23,2.43,85020+6103.5+27139.2+85050+6426.5+27476.5,,,
 =62905/39003,ATTA,X 85600mm Y 6265mm Z 27320mm,X 85600mm Y 6265mm Z 27320mm,X 85600mm Y 6265mm Z 27320mm,EL-743-250A_002/B1,0,0,,,,0,0,,0.9506,85580+6133+27188+85660+6397+27320,,,
 =21945/329087,TUBI,X 78450mm Y 5480mm Z 25380mm,X 78450mm Y 5480mm Z 25595mm,X 78450mm Y 5480mm Z 25165mm,IB-012-450A_030/B4,457.2,9.5,  -0.707  -0.707   0.000,,,0,0,,45.15,78221.4+5251.4+25165+78678.6+5708.6+25595,,,STEEL
 =21945/329088,FLAN,X 78450mm Y 5480mm Z 25155mm,X 78450mm Y 5480mm Z 25165mm,X 78450mm Y 5480mm Z 25155mm,IB-012-450A_030/B4,457.2,9.5,  -0.707  -0.707   0.000,,,0,0,,24.9,78147.5+5177.5+25155+78752.5+5782.5+25195,,,STEEL
