name,type,pos,poss,pose,size,stru,ori,division,weld
 =21945/2095982,SCTN,X 79150mm Y 10990mm Z 27036mm,X 79150mm Y 10990mm Z 27036mm,X 79150mm Y 10870mm Z 27036mm,ANG_65x65x6,=21945/2095980,   1.000   0.000   0.000,SUPP,
 =21945/2095983,SCTN,X 79150mm Y 9425mm Z 27036mm,X 79150mm Y 9425mm Z 27036mm,X 79150mm Y 9190mm Z 27036mm,ANG_65x65x6,=21945/2095980,   1.000   0.000   0.000,SUPP,
 =21945/2095984,SCTN,X 79150mm Y 11040mm Z 27176mm,X 79150mm Y 11040mm Z 27176mm,X 79150mm Y 5340mm Z 27176mm,ANG_130x130x12,=21945/2095980,  -1.000   0.000   0.000,SUPP,
 =21945/2096086,SCTN,X 78890mm Y 8335mm Z 27176mm,X 78890mm Y 8335mm Z 27176mm,X 79138mm Y 8335mm Z 27176mm,ANG_130x130x12,=21945/2095980,   0.000   0.000  -1.000,SUPP,
 =21945/2106789,SCTN,X 87368mm Y 5885mm Z 27176mm,X 87368mm Y 5885mm Z 27176mm,X 87368mm Y 6022mm Z 27176mm,ANG_100x100x13,=21945/2106876,   0.000   0.000  -1.000,SUPP,
 =21945/2106878,SCTN,X 87370mm Y 8335mm Z 27176mm,X 87370mm Y 8335mm Z 27176mm,X 87370mm Y 6035mm Z 27176mm,ANG_100x100x13,=21945/2106876,  -1.000   0.000   0.000,SUPP,
 =21945/2106879,SCTN,X 88235mm Y 6035mm Z 27176mm,X 88235mm Y 6035mm Z 27176mm,X 87090mm Y 6035mm Z 27176mm,ANG_100x100x13,=21945/2106876,   0.000   0.000  -1.000,SUPP,
 =21945/2106880,SCTN,X 88235mm Y 8335mm Z 27176mm,X 88235mm Y 8335mm Z 27176mm,X 87090mm Y 8335mm Z 27176mm,ANG_100x100x13,=21945/2106876,   0.000   1.000   0.000,SUPP,
 =21945/2179556,SCTN,X 78030mm Y 8875mm Z 25265mm,X 78030mm Y 8875mm Z 25265mm,X 79100mm Y 8875mm Z 25265mm,ANG_130x130x12,=46521/661742,   0.000   0.000  -1.000,SUPP,
 =21945/2179557,SCTN,X 78400mm Y 8875mm Z 25253mm,X 78400mm Y 8875mm Z 25253mm,X 78400mm Y 8875mm Z 24101mm,ANG_130x130x12,=46521/661742,  -1.000   0.000   0.000,SUPP,
 =21945/2183442,SCTN,X 91250mm Y 3738mm Z 27405mm,X 91250mm Y 3738mm Z 27405mm,X 91250mm Y 3738mm Z 27186mm,ANG_65x65x6,=21945/2183440,  -1.000   0.000   0.000,SUPP,
 =21945/2183444,SCTN,X 91250mm Y 3738mm Z 27186mm,X 91250mm Y 3738mm Z 27186mm,X 91250mm Y 4105mm Z 27186mm,ANG_65x65x6,=21945/2183440,  -1.000   0.000   0.000,SUPP,
 =21945/2199700,SCTN,X 88465mm Y 4990mm Z 26775mm,X 88465mm Y 4990mm Z 26775mm,X 88285mm Y 4990mm Z 26775mm,ANG_100x100x13,=30137/1498476,   0.000   1.000   0.000,SUPP,
 =21945/2201263,SCTN,X 78400mm Y 8875mm Z 24101mm,X 78400mm Y 8875mm Z 24101mm,X 78400mm Y 8875mm Z 23985mm,ANG_130x130x12,=46521/661742,  -1.000   0.000   0.000,SUPP,
 =21945/2206955,SCTN,X 79100mm Y 9254mm Z 26817mm,X 79100mm Y 9254mm Z 26817mm,X 79280mm Y 9254mm Z 26817mm,ANG_100x100x13,=21945/2095980,   0.000   0.000  -1.000,SUPP,
 =21945/2208649,SCTN,X 87530mm Y 5160mm Z 27036mm,X 87530mm Y 5160mm Z 27036mm,X 87430mm Y 5160mm Z 27036mm,ANG_50x50x6,=21945/2208647,   0.000  -1.000   0.000,SUPP,
 =21945/2208651,SCTN,X 87530mm Y 5160mm Z 27036mm,X 87530mm Y 5160mm Z 27036mm,X 87530mm Y 5160mm Z 27176mm,ANG_50x50x6,=21945/2208647,  -1.000   0.000   0.000,SUPP,
 =21945/2208955,SCTN,X 92950mm Y 6015mm Z 27176mm,X 92950mm Y 6015mm Z 27176mm,X 94954mm Y 6015mm Z 27176mm,ANG_100x100x13,=21945/2208951,   0.000  -1.000   0.000,SUPP,
 =21945/2226834,SCTN,X 82837mm Y 9500mm Z 27288mm,X 82837mm Y 9500mm Z 27288mm,X 82687mm Y 9350mm Z 27288mm,ANG_100x100x10,=38329/1345998,   0.000   0.000  -1.000,SUPP,
 =21945/2227480,SCTN,X 95300mm Y 8525mm Z 27036mm,X 95300mm Y 8525mm Z 27036mm,X 95300mm Y 8905mm Z 27036mm,ANG_65x65x6,=21945/2227473,   0.000   0.000   1.000,SUPP,
 =21945/2227482,SCTN,X 95300mm Y 10990mm Z 27036mm,X 95300mm Y 10990mm Z 27036mm,X 95300mm Y 10705mm Z 27036mm,ANG_65x65x6,=21945/2227473,   1.000   0.000   0.000,SUPP,
 =21945/2227483,SCTN,X 95300mm Y 11040mm Z 27176mm,X 95300mm Y 11040mm Z 27176mm,X 95300mm Y 5340mm Z 27176mm,ANG_130x130x12,=21945/2227473,  -1.000   0.000   0.000,SUPP,
 =21945/2227667,SCTN,X 95300mm Y 5320mm Z 27176mm,X 95300mm Y 5320mm Z 27176mm,X 95300mm Y 4005mm Z 27176mm,ANG_130x130x12,=21945/2227653,  -1.000   0.000   0.000,SUPP,
 =21945/2227676,SCTN,X 95250mm Y 4990mm Z 27046mm,X 95250mm Y 4990mm Z 27046mm,X 95250mm Y 4990mm Z 26171mm,TUBE_139.8x6.6,=21945/2227653,   0.000  -1.000   0.000,SUPP,
 =21945/2227679,SCTN,X 95250mm Y 4100mm Z 27046mm,X 95250mm Y 4100mm Z 27046mm,X 95250mm Y 4100mm Z 26171mm,TUBE_139.8x6.6,=21945/2227653,   0.000  -1.000   0.000,SUPP,
 =21945/2227835,SCTN,X 83365mm Y 4990mm Z 26086mm,X 83365mm Y 4990mm Z 26086mm,X 83365mm Y 3970mm Z 26086mm,BEAM_150x150x7x10,=21945/2227832,   1.000   0.000   0.000,SUPP,
 =21945/2227927,SCTN,X 82750mm Y 4990mm Z 26086mm,X 82750mm Y 4990mm Z 26086mm,X 84800mm Y 4990mm Z 26086mm,BEAM_150x150x7x10,=21945/2227832,   0.000   1.000   0.000,SUPP,
 =21945/2228380,SCTN,X 83365mm Y 4990mm Z 24303mm,X 83365mm Y 4990mm Z 24303mm,X 83365mm Y 4990mm Z 23985mm,TUBE_165.2x4.9,=21945/2227832,  -1.000   0.000   0.000,SUPP,
 =21945/2228418,SCTN,X 83415mm Y 5240mm Z 27176mm,X 83415mm Y 5240mm Z 27176mm,X 83415mm Y 4030mm Z 27176mm,ANG_130x130x12,=21945/2228398,  -1.000   0.000   0.000,SUPP,
 =21945/2228427,SCTN,X 83365mm Y 4990mm Z 27046mm,X 83365mm Y 4990mm Z 27046mm,X 83365mm Y 4990mm Z 26171mm,TUBE_139.8x6.6,=21945/2228398,   0.000  -1.000   0.000,SUPP,
 =21945/2228430,SCTN,X 83365mm Y 4130mm Z 27046mm,X 83365mm Y 4130mm Z 27046mm,X 83365mm Y 4130mm Z 26171mm,TUBE_139.8x6.6,=21945/2228398,   0.000  -1.000   0.000,SUPP,
 =21945/2228526,SCTN,X 83365mm Y 4990mm Z 26830mm,X 83365mm Y 4990mm Z 26830mm,X 82709mm Y 4990mm Z 26830mm,ANG_100x100x13,=21945/2228398,   0.000   0.000  -1.000,SUPP,
 =21945/2229309,SCTN,X 88465mm Y 4100mm Z 26830mm,X 88465mm Y 4100mm Z 26830mm,X 88465mm Y 3640mm Z 26830mm,ANG_90x90x10,=30137/1498476,  -1.000   0.000   0.000,SUPP,
 =21945/2229316,SCTN,X 88465mm Y 3740mm Z 26740mm,X 88465mm Y 3740mm Z 26740mm,X 88465mm Y 4104mm Z 26486mm,ANG_90x90x10,=30137/1498476,  -1.000   0.000   0.000,SUPP,
 =21945/2229383,SCTN,X 85250mm Y 4990mm Z 26775mm,X 85250mm Y 4990mm Z 26775mm,X 88265mm Y 4990mm Z 26775mm,ANG_100x100x13,=21945/2229381,   0.000   0.000  -1.000,SUPP,
 =21945/2229651,SCTN,X 79100mm Y 10590mm Z 27046mm,X 79100mm Y 10590mm Z 27046mm,X 79100mm Y 10590mm Z 26171mm,TUBE_139.8x6.6,=21945/2095980,   0.000   1.000   0.000,SUPP,
 =21945/2229654,SCTN,X 79100mm Y 9600mm Z 27046mm,X 79100mm Y 9600mm Z 27046mm,X 79100mm Y 9600mm Z 26171mm,TUBE_139.8x6.6,=21945/2095980,   0.000   1.000   0.000,SUPP,
 =21945/2229657,SCTN,X 79100mm Y 7635mm Z 27046mm,X 79100mm Y 7635mm Z 27046mm,X 79100mm Y 7635mm Z 26171mm,TUBE_139.8x6.6,=21945/2095980,   0.000  -1.000   0.000,SUPP,
 =21945/2229660,SCTN,X 79100mm Y 6450mm Z 27046mm,X 79100mm Y 6450mm Z 27046mm,X 79100mm Y 6450mm Z 26171mm,TUBE_139.8x6.6,=21945/2095980,   0.000  -1.000   0.000,SUPP,
 =21945/2229678,SCTN,X 82500mm Y 9600mm Z 27046mm,X 82500mm Y 9600mm Z 27046mm,X 82500mm Y 9600mm Z 26171mm,TUBE_139.8x6.6,=46521/576468,   0.000   1.000   0.000,SUPP,
 =21945/2229681,SCTN,X 82500mm Y 6450mm Z 27046mm,X 82500mm Y 6450mm Z 27046mm,X 82500mm Y 6450mm Z 26171mm,TUBE_139.8x6.6,=46521/576468,   0.000   1.000   0.000,SUPP,
 =21945/2229684,SCTN,X 82500mm Y 10590mm Z 27046mm,X 82500mm Y 10590mm Z 27046mm,X 82500mm Y 10590mm Z 26171mm,TUBE_139.8x6.6,=46521/576468,   0.000   1.000   0.000,SUPP,
 =21945/2229707,SCTN,X 85050mm Y 10590mm Z 27046mm,X 85050mm Y 10590mm Z 27046mm,X 85050mm Y 10590mm Z 26171mm,TUBE_139.8x6.6,=30137/1502171,   0.000   1.000   0.000,SUPP,
 =21945/2229710,SCTN,X 85050mm Y 9600mm Z 27046mm,X 85050mm Y 9600mm Z 27046mm,X 85050mm Y 9600mm Z 26171mm,TUBE_139.8x6.6,=30137/1502171,   0.000   1.000   0.000,SUPP,
 =21945/2229713,SCTN,X 85050mm Y 6450mm Z 27046mm,X 85050mm Y 6450mm Z 27046mm,X 85050mm Y 6450mm Z 26171mm,TUBE_139.8x6.6,=30137/1502171,   0.000   1.000   0.000,SUPP,
 =21945/2229716,SCTN,X 88465mm Y 10590mm Z 27046mm,X 88465mm Y 10590mm Z 27046mm,X 88465mm Y 10590mm Z 26171mm,TUBE_139.8x6.6,=30137/1502318,   0.000   1.000   0.000,SUPP,
 =21945/2229719,SCTN,X 88465mm Y 9600mm Z 27046mm,X 88465mm Y 9600mm Z 27046mm,X 88465mm Y 9600mm Z 26171mm,TUBE_139.8x6.6,=30137/1502318,   0.000   1.000   0.000,SUPP,
