name,type,pos,poss,pose,size,stru,ori,division,weld
 =21945/2229722,SCTN,X 88465mm Y 6450mm Z 27046mm,X 88465mm Y 6450mm Z 27046mm,X 88465mm Y 6450mm Z 26171mm,TUBE_139.8x6.6,=30137/1502318,   0.000   1.000   0.000,SUPP,
 =21945/2229725,SCTN,X 91850mm Y 10590mm Z 27046mm,X 91850mm Y 10590mm Z 27046mm,X 91850mm Y 10590mm Z 26171mm,TUBE_139.8x6.6,=30137/1502465,   0.000   1.000   0.000,SUPP,
 =21945/2229728,SCTN,X 91850mm Y 9600mm Z 27046mm,X 91850mm Y 9600mm Z 27046mm,X 91850mm Y 9600mm Z 26171mm,TUBE_139.8x6.6,=30137/1502465,   0.000   1.000   0.000,SUPP,
 =21945/2229731,SCTN,X 91850mm Y 6450mm Z 27046mm,X 91850mm Y 6450mm Z 27046mm,X 91850mm Y 6450mm Z 26171mm,TUBE_139.8x6.6,=30137/1502465,   0.000   1.000   0.000,SUPP,
 =21945/2229734,SCTN,X 95250mm Y 10590mm Z 27046mm,X 95250mm Y 10590mm Z 27046mm,X 95250mm Y 10590mm Z 26171mm,TUBE_139.8x6.6,=21945/2227473,   0.000   1.000   0.000,SUPP,
 =21945/2229737,SCTN,X 95250mm Y 9600mm Z 27046mm,X 95250mm Y 9600mm Z 27046mm,X 95250mm Y 9600mm Z 26171mm,TUBE_139.8x6.6,=21945/2227473,   0.000   1.000   0.000,SUPP,
 =21945/2229740,SCTN,X 95250mm Y 6450mm Z 27046mm,X 95250mm Y 6450mm Z 27046mm,X 95250mm Y 6450mm Z 26171mm,TUBE_139.8x6.6,=21945/2227473,   0.000   1.000   0.000,SUPP,
 =21945/2229743,SCTN,X 95241mm Y 9600mm Z 26471mm,X 95241mm Y 9600mm Z 26471mm,X 95241mm Y 9025mm Z 27046mm,TUBE_114.3x6,=21945/2227473,   0.000  -0.707  -0.707,SUPP,
 =21945/2229745,SCTN,X 95250mm Y 6450mm Z 26471mm,X 95250mm Y 6450mm Z 26471mm,X 95250mm Y 7025mm Z 27046mm,TUBE_114.3x6,=21945/2227473,   0.000   0.707  -0.707,SUPP,
 =21945/2229751,SCTN,X 91841mm Y 9600mm Z 26471mm,X 91841mm Y 9600mm Z 26471mm,X 91841mm Y 9025mm Z 27046mm,TUBE_114.3x6,=30137/1502465,   0.000  -0.707  -0.707,SUPP,
 =21945/2229753,SCTN,X 91850mm Y 6450mm Z 26471mm,X 91850mm Y 6450mm Z 26471mm,X 91850mm Y 7025mm Z 27046mm,TUBE_114.3x6,=30137/1502465,   0.000   0.707  -0.707,SUPP,
 =21945/2229755,SCTN,X 88456mm Y 9600mm Z 26471mm,X 88456mm Y 9600mm Z 26471mm,X 88456mm Y 9025mm Z 27046mm,TUBE_114.3x6,=30137/1502318,   0.000  -0.707  -0.707,SUPP,
 =21945/2229757,SCTN,X 88465mm Y 6450mm Z 26471mm,X 88465mm Y 6450mm Z 26471mm,X 88465mm Y 7025mm Z 27046mm,TUBE_114.3x6,=30137/1502318,   0.000   0.707  -0.707,SUPP,
 =21945/2229759,SCTN,X 85041mm Y 9600mm Z 26471mm,X 85041mm Y 9600mm Z 26471mm,X 85041mm Y 9025mm Z 27046mm,TUBE_114.3x6,=30137/1502171,   0.000  -0.707  -0.707,SUPP,
 =21945/2229761,SCTN,X 85050mm Y 6450mm Z 26471mm,X 85050mm Y 6450mm Z 26471mm,X 85050mm Y 7025mm Z 27046mm,TUBE_114.3x6,=30137/1502171,   0.000   0.707  -0.707,SUPP,
 =21945/2229763,SCTN,X 82491mm Y 9600mm Z 26471mm,X 82491mm Y 9600mm Z 26471mm,X 82491mm Y 9025mm Z 27046mm,TUBE_114.3x6,=46521/576468,   0.000  -0.707  -0.707,SUPP,
 =21945/2229796,SCTN,X 77750mm Y 10500mm Z 27288mm,X 77750mm Y 10500mm Z 27288mm,X 77750mm Y 9350mm Z 27288mm,ANG_50x50x6,=38329/1345998,  -1.000   0.000   0.000,SUPP,
 =21945/2230346,SCTN,X 90100mm Y 10500mm Z 27288mm,X 90100mm Y 10500mm Z 27288mm,X 90100mm Y 9500mm Z 27288mm,ANG_50x50x6,=38329/1347931,  -1.000   0.000   0.000,SUPP,
 =21945/2230456,SCTN,X 80220mm Y 9004mm Z 26817mm,X 80220mm Y 9004mm Z 26817mm,X 79870mm Y 9004mm Z 26817mm,ANG_50x50x6,=30137/1574212,   0.000   1.000   0.000,SUPP,
 =21945/2303455,SCTN,X 91620mm Y 7815mm Z 27176mm,X 91620mm Y 7815mm Z 27176mm,X 88685mm Y 7815mm Z 27176mm,ANG_100x100x13,=30137/1516962,   0.000   1.000   0.000,SUPP,
 =21945/2303492,SCTN,X 91640mm Y 9215mm Z 27176mm,X 91640mm Y 9215mm Z 27176mm,X 91888mm Y 9215mm Z 27176mm,ANG_100x100x13,=30137/1502465,   0.000   0.000  -1.000,SUPP,
 =21945/2303512,SCTN,X 88665mm Y 9215mm Z 27176mm,X 88665mm Y 9215mm Z 27176mm,X 88515mm Y 9215mm Z 27176mm,ANG_100x100x13,=30137/1502318,   0.000   1.000   0.000,SUPP,
 =21945/2303520,SCTN,X 86800mm Y 8505mm Z 27176mm,X 86800mm Y 8505mm Z 27176mm,X 86800mm Y 9215mm Z 27176mm,ANG_100x100x13,=38329/1367352,   0.000   0.000  -1.000,SUPP,
 =21945/2303523,SCTN,X 88503mm Y 9215mm Z 27176mm,X 88503mm Y 9215mm Z 27176mm,X 88255mm Y 9215mm Z 27176mm,ANG_100x100x13,=30137/1502318,   0.000   1.000   0.000,SUPP,
 =21945/2303539,SCTN,X 85230mm Y 9215mm Z 27176mm,X 85230mm Y 9215mm Z 27176mm,X 85100mm Y 9215mm Z 27176mm,ANG_100x100x13,=30137/1502171,   0.000   1.000   0.000,SUPP,
 =21945/2303660,SCTN,X 79300mm Y 10590mm Z 26926mm,X 79300mm Y 10590mm Z 26926mm,X 82270mm Y 10590mm Z 26926mm,ANG_100x100x13,=21945/2303654,   0.000  -1.000   0.000,SUPP,
 =21945/2303662,SCTN,X 79870mm Y 9699mm Z 26927mm,X 79870mm Y 9699mm Z 26927mm,X 80220mm Y 9699mm Z 26927mm,ANG_50x50x6,=21945/2303654,   0.000  -0.707  -0.707,SUPP,
 =21945/2303670,SCTN,X 80220mm Y 9990mm Z 27068mm,X 80220mm Y 9990mm Z 27068mm,X 79870mm Y 9990mm Z 27068mm,ANG_50x50x6,=21945/2303654,   0.000   1.000   0.000,SUPP,
 =21945/2303678,SCTN,X 80220mm Y 10290mm Z 27068mm,X 80220mm Y 10290mm Z 27068mm,X 79870mm Y 10290mm Z 27068mm,ANG_50x50x6,=21945/2303654,   0.000   1.000   0.000,SUPP,
 =21945/2303686,SCTN,X 79870mm Y 9504mm Z 26817mm,X 79870mm Y 9504mm Z 26817mm,X 79870mm Y 9589mm Z 26817mm,ANG_100x100x10,=21945/2303654,   0.000   0.000  -1.000,SUPP,
 =21945/2303687,SCTN,X 80220mm Y 9504mm Z 26817mm,X 80220mm Y 9504mm Z 26817mm,X 80220mm Y 9589mm Z 26817mm,ANG_100x100x10,=21945/2303654,   1.000   0.000   0.000,SUPP,
 =21945/2303688,SCTN,X 80220mm Y 10590mm Z 27068mm,X 80220mm Y 10590mm Z 27068mm,X 80220mm Y 9840mm Z 27068mm,ANG_100x100x10,=21945/2303654,   0.000   0.000  -1.000,SUPP,
 =21945/2303689,SCTN,X 79870mm Y 10590mm Z 27068mm,X 79870mm Y 10590mm Z 27068mm,X 79870mm Y 9840mm Z 27068mm,ANG_100x100x10,=21945/2303654,  -1.000   0.000   0.000,SUPP,
 =21945/2303691,SCTN,X 80220mm Y 9840mm Z 27068mm,X 80220mm Y 9840mm Z 27068mm,X 80220mm Y 9589mm Z 26817mm,ANG_100x100x10,=21945/2303654,   0.000   0.707  -0.707,SUPP,
 =21945/2303692,SCTN,X 79870mm Y 10590mm Z 26926mm,X 79870mm Y 10590mm Z 26926mm,X 79870mm Y 10590mm Z 27068mm,ANG_100x100x10,=21945/2303654,  -1.000   0.000   0.000,SUPP,
 =21945/2303694,SCTN,X 79100mm Y 10590mm Z 26926mm,X 79100mm Y 10590mm Z 26926mm,X 79280mm Y 10590mm Z 26926mm,ANG_100x100x13,=21945/2095980,   0.000  -1.000   0.000,SUPP,
 =21945/2303702,SCTN,X 82500mm Y 10590mm Z 26927mm,X 82500mm Y 10590mm Z 26927mm,X 82290mm Y 10590mm Z 26927mm,ANG_100x100x13,=46521/576468,   0.000   0.000  -1.000,SUPP,
 =21945/2323579,SCTN,X 80570mm Y 4100mm Z 24342mm,X 80570mm Y 4100mm Z 24342mm,X 80570mm Y 4100mm Z 23985mm,TUBE_165.2x4.9,=38329/1369471,   0.000  -1.000   0.000,SUPP,
 =21945/2323588,SCTN,X 83365mm Y 4100mm Z 26011mm,X 83365mm Y 4100mm Z 26011mm,X 83365mm Y 4100mm Z 24342mm,TUBE_165.2x7.1,=21945/2227832,   1.000   0.000   0.000,SUPP,
 =21945/2323617,SCTN,X 83365mm Y 4100mm Z 24342mm,X 83365mm Y 4100mm Z 24342mm,X 83365mm Y 4100mm Z 23985mm,TUBE_165.2x4.9,=21945/2227832,  -1.000   0.000   0.000,SUPP,
 =21945/2323639,SCTN,X 80570mm Y 4990mm Z 26011mm,X 80570mm Y 4990mm Z 26011mm,X 80570mm Y 4990mm Z 24298mm,TUBE_165.2x7.1,=38329/1369471,   0.000  -1.000   0.000,SUPP,
 =21945/2323652,SCTN,X 80570mm Y 4990mm Z 25901mm,X 80570mm Y 4990mm Z 25901mm,X 80570mm Y 4100mm Z 24492mm,TUBE_139.8x6.6,=38329/1369471,   0.000   0.846  -0.534,SUPP,
 =21945/2324813,SCTN,X 79870mm Y 2820mm Z 26817mm,X 79870mm Y 2820mm Z 26817mm,X 79870mm Y 3950mm Z 26817mm,ANG_100x100x10,=30137/1574479,   0.000   0.000  -1.000,SUPP,
 =21945/2328442,SCTN,X 89850mm Y 9500mm Z 27288mm,X 89850mm Y 9500mm Z 27288mm,X 96250mm Y 9500mm Z 27288mm,ANG_100x100x10,=38329/1347931,   0.000  -1.000   0.000,SUPP,
 =21945/2328852,SCTN,X 90500mm Y 10500mm Z 27036mm,X 90500mm Y 10500mm Z 27036mm,X 90500mm Y 10990mm Z 27036mm,ANG_75x75x6,=38329/1347931,  -1.000   0.000   0.000,SUPP,
 =21945/2328854,SCTN,X 90500mm Y 10500mm Z 27036mm,X 90500mm Y 10500mm Z 27036mm,X 90500mm Y 10500mm Z 27278mm,ANG_75x75x6,=38329/1347931,   0.000   1.000   0.000,SUPP,
 =21945/2356955,SCTN,X 91850mm Y 9600mm Z 25288mm,X 91850mm Y 9600mm Z 25288mm,X 91850mm Y 9600mm Z 24801mm,ANG_100x100x13,=46521/663330,  -1.000   0.000   0.000,SUPP,
 =21945/2356973,SCTN,X 92270mm Y 9600mm Z 25211mm,X 92270mm Y 9600mm Z 25211mm,X 91850mm Y 9600mm Z 24917mm,ANG_90x90x10,=46521/663330,  -0.574   0.000   0.819,SUPP,
 =21945/2356974,SCTN,X 90630mm Y 9600mm Z 25288mm,X 90630mm Y 9600mm Z 25288mm,X 90630mm Y 9600mm Z 24071mm,ANG_100x100x13,=46521/663330,   0.000   1.000   0.000,SUPP,
 =21945/2356976,SCTN,X 91850mm Y 9600mm Z 25301mm,X 91850mm Y 9600mm Z 25301mm,X 92540mm Y 9600mm Z 25301mm,ANG_90x90x10,=46521/663330,   0.000   0.000  -1.000,SUPP,
 =21945/2356977,SCTN,X 90410mm Y 9600mm Z 25301mm,X 90410mm Y 9600mm Z 25301mm,X 91750mm Y 9600mm Z 25301mm,ANG_100x100x13,=46521/663330,   0.000   0.000  -1.000,SUPP,
 =21945/2356979,SCTN,X 91850mm Y 10590mm Z 25301mm,X 91850mm Y 10590mm Z 25301mm,X 91850mm Y 8925mm Z 25301mm,ANG_100x100x13,=46521/663330,  -1.000   0.000   0.000,SUPP,
 =21945/2356986,SCTN,X 91850mm Y 10590mm Z 24801mm,X 91850mm Y 10590mm Z 24801mm,X 91850mm Y 8925mm Z 24801mm,ANG_100x100x13,=46521/663330,  -1.000   0.000   0.000,SUPP,
 =22045/1083138,SCTN,X 88205mm Y 3770mm Z 27183mm,X 88205mm Y 3770mm Z 27183mm,X 88205mm Y 5495mm Z 27183mm,ANG_75x75x6,=22045/1083115,   0.000   0.000  -1.000,OUTF,
 =22045/1083147,SCTN,X 89940mm Y 4105mm Z 27176mm,X 89940mm Y 4105mm Z 27176mm,X 83640mm Y 4105mm Z 27176mm,ANG_125x75x7,=22045/1083115,   0.000   0.000   1.000,OUTF,
 =22045/1083149,SCTN,X 83640mm Y 5160mm Z 27176mm,X 83640mm Y 5160mm Z 27176mm,X 89940mm Y 5160mm Z 27176mm,ANG_125x75x7,=22045/1083115,   0.000   0.000   1.000,OUTF,
 =22045/1083178_0,GENSEC,X 86932mm Y 4073mm Z 27183mm,X 86932mm Y 4073mm Z 27183mm,X 86932mm Y 4073mm Z 28221mm,FBAR_65x16,=22045/1083152,  -1.000   0.000   0.000,,
 =22045/1083197_0,GENSEC,X 85682mm Y 4073mm Z 27183mm,X 85682mm Y 4073mm Z 27183mm,X 85682mm Y 4073mm Z 28221mm,FBAR_65x16,=22045/1083152,  -1.000   0.000   0.000,,
 =22045/1083249_0,GENSEC,X 81692mm Y 2678mm Z 28221mm,X 81692mm Y 2678mm Z 28221mm,X 82139mm Y 2678mm Z 28221mm,TUBE_42.7x3.25,=22045/1348435,   0.000   0.000  -1.000,,
 =22045/1083249_1,GENSEC,X 82139mm Y 2678mm Z 28221mm,X 82139mm Y 2678mm Z 28221mm,X 82139mm Y 3375mm Z 28221mm,TUBE_42.7x3.25,=22045/1348435,   0.000   0.000  -1.000,,
 =22045/1083249_2,GENSEC,X 82139mm Y 3375mm Z 28221mm,X 82139mm Y 3375mm Z 28221mm,X 82139mm Y 4073mm Z 28221mm,TUBE_42.7x3.25,=22045/1348435,   0.000   0.000  -1.000,,
 =22045/1083249_3,GENSEC,X 82139mm Y 4073mm Z 28221mm,X 82139mm Y 4073mm Z 28221mm,X 83392mm Y 4073mm Z 28221mm,TUBE_42.7x3.25,=22045/1348435,   0.000   0.000  -1.000,,
 =22045/1083254_0,GENSEC,X 81692mm Y 2678mm Z 27836mm,X 81692mm Y 2678mm Z 27836mm,X 82139mm Y 2678mm Z 27836mm,RBAR_19,=22045/1348435,   0.000   0.000  -1.000,,
 =22045/1083254_1,GENSEC,X 82139mm Y 2678mm Z 27836mm,X 82139mm Y 2678mm Z 27836mm,X 82139mm Y 3375mm Z 27836mm,RBAR_19,=22045/1348435,   0.000   0.000  -1.000,,
 =22045/1083254_2,GENSEC,X 82139mm Y 3375mm Z 27836mm,X 82139mm Y 3375mm Z 27836mm,X 82139mm Y 4073mm Z 27836mm,RBAR_19,=22045/1348435,   0.000   0.000  -1.000,,
 =22045/1083254_3,GENSEC,X 82139mm Y 4073mm Z 27836mm,X 82139mm Y 4073mm Z 27836mm,X 83392mm Y 4073mm Z 27836mm,RBAR_19,=22045/1348435,   0.000   0.000  -1.000,,
 =22045/1083259_0,GENSEC,X 81692mm Y 2678mm Z 27451mm,X 81692mm Y 2678mm Z 27451mm,X 82139mm Y 2678mm Z 27451mm,RBAR_19,=22045/1348435,   0.000   0.000  -1.000,,
 =22045/1083259_1,GENSEC,X 82139mm Y 2678mm Z 27451mm,X 82139mm Y 2678mm Z 27451mm,X 82139mm Y 3375mm Z 27451mm,RBAR_19,=22045/1348435,   0.000   0.000  -1.000,,
 =22045/1083259_2,GENSEC,X 82139mm Y 3375mm Z 27451mm,X 82139mm Y 3375mm Z 27451mm,X 82139mm Y 4073mm Z 27451mm,RBAR_19,=22045/1348435,   0.000   0.000  -1.000,,
 =22045/1083259_3,GENSEC,X 82139mm Y 4073mm Z 27451mm,X 82139mm Y 4073mm Z 27451mm,X 83392mm Y 4073mm Z 27451mm,RBAR_19,=22045/1348435,   0.000   0.000  -1.000,,
 =22045/1083277_0,GENSEC,X 88182mm Y 5193mm Z 27183mm,X 88182mm Y 5193mm Z 27183mm,X 88182mm Y 5193mm Z 28208mm,FBAR_65x16,=22045/1083263,   1.000   0.000   0.000,,
 =22045/1083289_0,GENSEC,X 86932mm Y 5193mm Z 27183mm,X 86932mm Y 5193mm Z 27183mm,X 86932mm Y 5193mm Z 28208mm,FBAR_65x16,=22045/1083263,   1.000   0.000   0.000,,
 =22045/1083370_0,GENSEC,X 83400mm Y 5193mm Z 27464mm,X 83400mm Y 5193mm Z 27464mm,X 89128mm Y 5193mm Z 27464mm,RBAR_19,=22045/1083263,   0.000   0.000  -1.000,,
 =22045/1083387,SCTN,X 90501mm Y 3770mm Z 27183mm,X 90501mm Y 3770mm Z 27183mm,X 90501mm Y 5495mm Z 27183mm,ANG_75x75x6,=22045/1083374,   0.000   0.000  -1.000,OUTF,
