name,type,pos,apos,lpos,bran,outDia,thick,normal,interPos,p3Pos,outDia2,thick2,rest,mass,wvol,remark,Ispec,material
 =21945/2687541,UBOLT,X 111080mm Y -9840mm Z 29900mm,X 111080mm Y -9840mm Z 29900mm,X 111080mm Y -9840mm Z 29900mm,X5-602-25A_003/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.4823,111020.5+-9860+29845.7+111139.5+-9820+29928.8,,,
 =54713/110533,ELBO,X 111080mm Y -10080mm Z 29900mm,X 111080mm Y -10042mm Z 29900mm,X 111118mm Y -10080mm Z 29900mm,X5-602-25A_003/B1,33.4,3.38,   0.000   0.000   1.000,X 111091mm Y -10069mm Z 29900mm,,0,0,,0.15,111063.2+-10096.8+29883.2+111118.1+-10041.9+29916.8,,,A312_TP304L
 =21945/2582707,TUBI,X 113055mm Y -10080mm Z 29900mm,X 111118mm Y -10080mm Z 29900mm,X 114992mm Y -10080mm Z 29900mm,X5-602-25A_003/B1,33.4,3.38,   0.000   0.000   1.000,,,0,0,,9.793,111118.1+-10096.7+29883.3+114991.9+-10063.3+29916.7,,,A312_TP304L
 =21945/2687518,UBOLT,X 112090mm Y -10080mm Z 29900mm,X 112090mm Y -10080mm Z 29900mm,X 112090mm Y -10080mm Z 29900mm,X5-602-25A_003/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.3512,112070+-10119+29843.7+112110+-10041+29930.1,,,
 =21945/2687516,UBOLT,X 113585mm Y -10080mm Z 29900mm,X 113585mm Y -10080mm Z 29900mm,X 113585mm Y -10080mm Z 29900mm,X5-602-25A_003/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.3512,113565+-10119+29843.7+113605+-10041+29930.1,,,
 =54713/110534,ELBO,X 115030mm Y -10080mm Z 29900mm,X 114992mm Y -10080mm Z 29900mm,X 115030mm Y -10118mm Z 29900mm,X5-602-25A_003/B1,33.4,3.38,   0.000   0.000  -1.000,X 115019mm Y -10091mm Z 29900mm,,0,0,,0.15,114991.9+-10118.1+29883.2+115046.8+-10063.2+29916.8,,,A312_TP304L
 =30137/1702747,TUBI,X 115030mm Y -10249mm Z 29900mm,X 115030mm Y -10118mm Z 29900mm,X 115030mm Y -10380mm Z 29900mm,X5-602-25A_003/B1,33.4,3.38,   0.000   0.000   1.000,,,0,0,,0.6621,115013.3+-10380+29883.3+115046.7+-10118.1+29916.7,,,A312_TP304L
 =21945/2687513,UBOLT,X 115030mm Y -10237mm Z 29900mm,X 115030mm Y -10237mm Z 29900mm,X 115030mm Y -10237mm Z 29900mm,X5-602-25A_003/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.4823,114970.5+-10256.6+29845.7+115089.5+-10216.6+29928.8,,,
 =87481/712,TUBI,X 115030mm Y -10555mm Z 29900mm,X 115030mm Y -10380mm Z 29900mm,X 115030mm Y -10730mm Z 29900mm,X5-602-25A_003/B1,33.4,3.38,   0.000   0.000   1.000,,,0,0,,0.8848,115013.3+-10730+29883.3+115046.7+-10380+29916.7,,,A312_TP304L
 =21945/820193,TUBI,X 111080mm Y -825mm Z 30740mm,X 111080mm Y -625mm Z 30740mm,X 111080mm Y -1025mm Z 30740mm,X7-512-25A_005/B1,33.4,3.38,   0.000   0.000   1.000,,,0,0,,1.0112,111063.3+-1025+30723.3+111096.7+-625+30756.7,,,A312_TP304L
 =21945/820190,TUBI,X 111080mm Y -4012mm Z 30740mm,X 111080mm Y -1025mm Z 30740mm,X 111080mm Y -6998mm Z 30740mm,X7-512-25A_005/B1,33.4,3.38,   0.000   0.000   1.000,,,0,0,,15.1,111063.3+-6998.1+30723.3+111096.7+-1025+30756.7,,,A312_TP304L
