name,type,pos,poss,pose,size,stru,ori,division,weld
 =46521/170614,SCTN,X 118950mm Y -8630mm Z 29772mm,X 118950mm Y -8630mm Z 29772mm,X 118950mm Y -8630mm Z 29683mm,ANG_130x130x12,=21945/2401988,   0.000  -1.000   0.000,SUPP,
 =46521/170617,SCTN,X 116500mm Y -9270mm Z 30439mm,X 116500mm Y -9270mm Z 30439mm,X 116500mm Y -9270mm Z 29754mm,ANG_130x130x12,=30137/314222,  -1.000   0.000   0.000,SUPP,
 =46521/170623,SCTN,X 115300mm Y -9260mm Z 30439mm,X 115300mm Y -9260mm Z 30439mm,X 115300mm Y -9260mm Z 29754mm,ANG_130x130x12,=30137/314185,   0.000  -1.000   0.000,SUPP,
 =46521/170626,SCTN,X 115300mm Y -9260mm Z 29754mm,X 115300mm Y -9260mm Z 29754mm,X 115300mm Y -9260mm Z 29683mm,ANG_130x130x12,=30137/314185,   0.000  -1.000   0.000,SUPP,
 =46521/170629,SCTN,X 113610mm Y -9665mm Z 30439mm,X 113610mm Y -9665mm Z 30439mm,X 113610mm Y -9665mm Z 29743mm,ANG_130x130x12,=30137/314172,   0.000  -1.000   0.000,SUPP,
 =46521/170632,SCTN,X 112065mm Y -9665mm Z 30439mm,X 112065mm Y -9665mm Z 30439mm,X 112065mm Y -9665mm Z 29743mm,ANG_130x130x12,=30137/314172,   1.000   0.000   0.000,SUPP,
 =46521/170635,SCTN,X 113610mm Y -9400mm Z 31148mm,X 113610mm Y -9400mm Z 31148mm,X 113610mm Y -9400mm Z 30451mm,ANG_130x130x12,=21945/2402043,  -1.000   0.000   0.000,SUPP,
 =46521/170638,SCTN,X 113610mm Y -8225mm Z 31148mm,X 113610mm Y -8225mm Z 31148mm,X 113610mm Y -8225mm Z 30451mm,ANG_130x130x12,=21945/2402043,   0.000  -1.000   0.000,SUPP,
 =46521/170642,SCTN,X 109820mm Y -9665mm Z 29743mm,X 109820mm Y -9665mm Z 29743mm,X 109820mm Y -9665mm Z 29683mm,ANG_130x130x12,=30137/314158,   0.000  -1.000   0.000,SUPP,
 =46521/170645,SCTN,X 108910mm Y -9665mm Z 29743mm,X 108910mm Y -9665mm Z 29743mm,X 108910mm Y -9665mm Z 29683mm,ANG_130x130x12,=30137/314158,   1.000   0.000   0.000,SUPP,
 =54713/359012,SCTN,X 110720mm Y -4805mm Z 30713mm,X 110720mm Y -4805mm Z 30713mm,X 111360mm Y -4805mm Z 30713mm,ANG_75x75x6,=54713/359010,   0.000  -1.000   0.000,SUPP,
 =54713/359013,SCTN,X 111360mm Y -4805mm Z 30461mm,X 111360mm Y -4805mm Z 30461mm,X 111360mm Y -4805mm Z 30713mm,ANG_75x75x6,=54713/359010,  -1.000   0.000   0.000,SUPP,
 =54713/359014,SCTN,X 110720mm Y -4805mm Z 30461mm,X 110720mm Y -4805mm Z 30461mm,X 110720mm Y -4805mm Z 30713mm,ANG_75x75x6,=54713/359010,   0.000  -1.000   0.000,SUPP,
 =54713/359055,SCTN,X 112065mm Y -8405mm Z 30171mm,X 112065mm Y -8405mm Z 30171mm,X 112065mm Y -8405mm Z 30439mm,ANG_100x100x13,=21945/820078,   0.000  -1.000   0.000,SUPP,
 =54713/359059,SCTN,X 112065mm Y -8275mm Z 31159mm,X 112065mm Y -8275mm Z 31159mm,X 112065mm Y -8275mm Z 30451mm,ANG_65x65x6,=21945/820078,   1.000   0.000   0.000,SUPP,
 =54713/359142,SCTN,X 119515mm Y -10300mm Z 29873mm,X 119515mm Y -10300mm Z 29873mm,X 119385mm Y -10300mm Z 29873mm,ANG_50x50x6,=54713/359140,   0.000   1.000   0.000,SUPP,
 =54713/359145,SCTN,X 119475mm Y -10300mm Z 29863mm,X 119475mm Y -10300mm Z 29863mm,X 119475mm Y -10300mm Z 29725mm,ANG_50x50x6,=54713/359140,   0.000  -1.000   0.000,SUPP,
 =79289/1209,SCTN,X 110720mm Y -625mm Z 30451mm,X 110720mm Y -625mm Z 30451mm,X 110720mm Y -1280mm Z 30451mm,ANG_75x75x6,=79289/1147,   0.000   0.000  -1.000,SUPP,
 =79289/1210,SCTN,X 111360mm Y -625mm Z 30451mm,X 111360mm Y -625mm Z 30451mm,X 111360mm Y -1280mm Z 30451mm,ANG_75x75x6,=79289/1147,  -1.000   0.000   0.000,SUPP,
 =87481/740,SCTN,X 117940mm Y -9677mm Z 29873mm,X 117940mm Y -9677mm Z 29873mm,X 117940mm Y -9995mm Z 29873mm,ANG_50x50x6,=21945/2401988,   0.000   0.000  -1.000,SUPP,
 =87481/967,SCTN,X 118950mm Y -9677mm Z 29873mm,X 118950mm Y -9677mm Z 29873mm,X 118950mm Y -10015mm Z 29873mm,ANG_50x50x6,=21945/2401988,  -1.000   0.000   0.000,SUPP,
 =87481/970,SCTN,X 115300mm Y -10015mm Z 29873mm,X 115300mm Y -10015mm Z 29873mm,X 115300mm Y -9905mm Z 29873mm,ANG_50x50x6,=30137/314185,   0.000   0.000  -1.000,SUPP,
 =87481/972,SCTN,X 113610mm Y -9677mm Z 29873mm,X 113610mm Y -9677mm Z 29873mm,X 113610mm Y -10125mm Z 29873mm,ANG_50x50x6,=30137/314172,  -1.000   0.000   0.000,SUPP,
 =87481/974,SCTN,X 112065mm Y -9677mm Z 29873mm,X 112065mm Y -9677mm Z 29873mm,X 112065mm Y -10125mm Z 29873mm,ANG_50x50x6,=30137/314172,   0.000   0.000  -1.000,SUPP,
 =87481/1461,SCTN,X 112065mm Y -7565mm Z 30451mm,X 112065mm Y -7565mm Z 30451mm,X 112065mm Y -9465mm Z 30451mm,ANG_130x130x12,=21945/820078,   0.000   0.000  -1.000,SUPP,
 =87481/1473,SCTN,X 110870mm Y -9815mm Z 29873mm,X 110870mm Y -9815mm Z 29873mm,X 111290mm Y -9815mm Z 29873mm,ANG_50x50x6,=87481/1471,   0.000  -1.000   0.000,SUPP,
 =87481/1474,SCTN,X 110870mm Y -9815mm Z 29873mm,X 110870mm Y -9815mm Z 29873mm,X 110870mm Y -9815mm Z 29739mm,ANG_50x50x6,=87481/1471,   1.000   0.000   0.000,SUPP,
 =87481/1475,SCTN,X 111290mm Y -9815mm Z 29873mm,X 111290mm Y -9815mm Z 29873mm,X 111290mm Y -9815mm Z 29739mm,ANG_50x50x6,=87481/1471,   0.000  -1.000   0.000,SUPP,
 =95673/12749,SCTN,X 114863mm Y -5816mm Z 31067mm,X 114863mm Y -5816mm Z 31067mm,X 114863mm Y -6684mm Z 31067mm,ANG_65x65x6,=21945/2431295,  -1.000   0.000   0.000,SUPP,
 =95673/12750,SCTN,X 114863mm Y -5810mm Z 31917mm,X 114863mm Y -5810mm Z 31917mm,X 114863mm Y -5810mm Z 30451mm,ANG_65x65x6,=21945/2431295,   0.000  -1.000   0.000,SUPP,
 =95673/12751,SCTN,X 114863mm Y -6690mm Z 32067mm,X 114863mm Y -6690mm Z 32067mm,X 114863mm Y -6690mm Z 30451mm,ANG_65x65x6,=21945/2431295,  -1.000   0.000   0.000,SUPP,
 =95673/12760,SCTN,X 114863mm Y -5810mm Z 31917mm,X 114863mm Y -5810mm Z 31917mm,X 114863mm Y -6684mm Z 31917mm,ANG_65x65x6,=21945/2431295,  -1.000   0.000   0.000,SUPP,
