name,pos,cog,interPos,mass,wvol
 =21945/2438882,X 113190mm Y -7685mm Z 30628mm,X 113190mm Y -7687mm Z 30953mm,,0,113128+-7747+30627.6+113252+-7623+31058.6
 =21945/2438905,X 112465mm Y -7685mm Z 30628mm,X 112465mm Y -7687mm Z 30953mm,,0,112403+-7747+30627.6+112527+-7623+31058.6
 =38329/60941,X 112065mm Y -7685mm Z 30988mm,X 112100mm Y -7685mm Z 31045mm,,1,112049+-7715+30988.3+112183+-7655+31126.8
 =38329/60957,X 114765mm Y -7685mm Z 30988mm,X 114800mm Y -7685mm Z 31045mm,,1,114749+-7715+30988.3+114883+-7655+31126.8
 =38329/60973,X 115915mm Y -7685mm Z 30988mm,X 115950mm Y -7685mm Z 31045mm,,1,115899+-7715+30988.3+116033+-7655+31126.8
